
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
 ------    -----      -----     ------      --  -- -----------
      8     1.99      11.29       0.09    4236   0 AggregatorHost
     17    16.75      44.01       0.97    2484   1 Code
     15    39.17     101.77       1.33    2672   1 Code
     37   273.85     308.43      53.48    4164   1 Code
     31   246.61     270.78     220.30    5012   1 Code
     15    29.09      96.17       0.41    5316   1 Code
     28   317.69     468.08     104.84    5536   1 Code
     20    93.35     114.45      13.72    5696   1 Code
     29   100.33     111.51       4.20    6664   1 Code
     15    45.28     112.17       0.58    6684   1 Code
     36   423.48     440.42      22.97    7816   1 Code
     51   116.98     146.50      36.08    7916   1 Code
     11    14.44      31.85       0.05    8272   1 Code
     19    64.37      95.44       0.92    8496   1 Code
     20    84.99     115.89       5.36    8616   1 Code
     19    82.96     118.37       1.69    9608   1 Code
     19    68.56     104.24       0.69    9660   1 Code
     36   322.75     312.65      10.20    9772   1 Code
      7     6.50      13.60       0.02    4512   1 conhost
      7     6.52      13.73       0.03    4856   1 conhost
      7     1.49       8.68       0.05    5604   1 conhost
      7     1.48       8.60       0.06    5992   1 conhost
      8     4.76      11.89       0.23    7140   1 conhost
      7     6.52      13.73       0.02    7164   1 conhost
      7     6.53      13.73       0.02    9576   1 conhost
      7     6.51      13.61       0.03    9848   1 conhost
     20     2.42       6.98       1.44     612   0 csrss
     29     3.30     224.08       3.86     692   1 csrss
     22    33.55      59.56       6.62    7584   1 ctfmon
     18     4.12      17.61       0.05    4184   0 dasHost
     24     5.67      17.79       0.20    7108   1 dllhost
     56    34.49      83.57       1.12    2872   1 dotnet
     55    18.79      67.14       1.23   10836   1 dotnet
    141    58.22     175.70       6.05   10944   1 dotnet
     81   477.79     531.18      84.17    1084   1 dwm
      4     0.87       5.86       0.03   10488   1 escape-node-job
    101   126.68     221.43      24.56    5372   1 explorer
      6     3.47       6.38       0.84    1000   0 fontdrvhost
      6     7.19      10.73       1.09    1008   1 fontdrvhost
      0     0.05       0.01       0.00       0   0 Idle
     10     2.27       8.10       0.06    7280   1 LocationNotificationWindows
     28    10.08      31.62       6.52     848   0 lsass
    203    75.44     221.66       8.84    7076   1 Microsoft.CodeAnalysis.LanguageServer
     70    23.32      82.48       2.00   10768   1 Microsoft.ServiceHub.Controller
    101    41.28     125.86       3.95    9912   1 Microsoft.VisualStudio.Code.Server
     91    38.29     114.74       2.66   10228   1 Microsoft.VisualStudio.Code.ServiceHost
     15     9.71      25.22       0.61    3252   0 MpDefenderCoreService
      9     2.39      10.25       0.03    1376   1 msedge
     17    25.48      59.79       0.75    3156   1 msedge
    109   127.33     268.20      76.94    3516   1 msedge
     19    35.57       2.13       0.67    3984   1 msedge
     11     8.77      20.18       0.66    4288   1 msedge
     20    55.39     100.86       4.55    4588   1 msedge
     20    25.93      52.40      17.86    4664   1 msedge
     21    58.26     103.64       3.39    5144   1 msedge
     21    75.39     107.97      22.31    5996   1 msedge
    178    64.84     359.49     166.23    6208   1 msedge
     38   142.42     172.37      16.75    7760   1 msedge
     17    24.80      62.55       0.89    7800   1 msedge
     19    56.53      11.50       2.38    8516   1 msedge
     12     7.98      20.23       0.11    9232   1 msedge
     15    15.11      31.96       0.03    9476   1 msedge
     25   134.71       4.53      20.98    9612   1 msedge
     14     9.54      25.40       0.27   10156   1 msedge
     17    22.16      57.68       0.36   11168   1 msedge
     43    35.77       5.23       2.66     984   1 msedgewebview2
     36    35.22       0.01       0.64    1908   1 msedgewebview2
     10     9.68       0.01       0.11    2440   1 msedgewebview2
     23   167.32       1.46       7.02    3988   1 msedgewebview2
      9     2.29       9.95       0.02    8880   1 msedgewebview2
     16    11.25       1.52       0.66    8912   1 msedgewebview2
    188   266.79     227.77      40.09    3272   0 MsMpEng
     36     3.96      13.61       0.06    6432   0 NisSrv
     42    44.32     109.64       1.95    3116   0 OfficeClickToRun
     10     2.95      12.38       0.03    6560   1 OpenConsole
    114    83.72     213.23       8.66    2168   1 pwsh
    182   312.07     485.95      60.34    7864   1 pwsh
    125   136.86     273.16      16.28    9704   1 pwsh
    157   118.74     273.49      16.56    9932   1 pwsh
     15    12.94      63.85       0.97     108   0 Registry
     20     6.46      33.86       0.95    2556   1 RuntimeBroker
     14     6.34      26.64       0.34    4428   1 RuntimeBroker
     19     7.58      32.22       0.42    5092   1 RuntimeBroker
     19     6.68      34.75       0.41    6164   1 RuntimeBroker
      9     2.45      13.89       0.11   10584   1 RuntimeBroker
    100   113.20      96.69       1.62    6096   1 SearchHost
     19    17.80      35.24       2.02    7808   0 SearchIndexer
     11     5.05      11.46       2.86     808   0 services
     38    29.69      49.91       1.30    7640   1 ShellExperienceHost
     17     7.11      32.29       2.81    2680   1 sihost
      3     1.67       1.44       0.47     468   0 smss
     19     4.90      18.50       0.02    6332   0 spoolsv
      7     1.62       6.11       0.02    3240   0 ssh-agent
     10     2.14       8.27       0.05    3264   0 sshd
     40    50.34     115.40       1.75    5980   1 StartMenuExperienceHost
     17     6.92      15.52       6.23     596   0 svchost
     12     3.14      12.54       0.64     760   0 svchost
     10     2.44      10.86       0.00     836   0 svchost
     19     5.69      23.17       0.45     960   0 svchost
     22     8.89      30.36       2.55     976   0 svchost
     17     4.43      13.89       0.34    1148   0 svchost
     11     2.80      12.12       0.11    1240   0 svchost
      9     2.32      11.46       0.08    1276   0 svchost
      7     1.38       6.16       0.02    1284   0 svchost
     22     4.55       9.48       0.17    1360   0 svchost
     18     5.40      18.62       0.61    1408   0 svchost
     18     6.40      19.19       0.69    1428   0 svchost
     10     2.83      12.16       0.14    1444   0 svchost
      9     2.46      11.74       1.25    1576   0 svchost
     13    14.22      20.01       1.00    1628   0 svchost
      7     1.43       8.00       0.00    1668   0 svchost
      7     1.45       6.72       0.19    1676   0 svchost
      9     2.09       9.44       0.08    1684   0 svchost
     11     2.07       9.69       0.03    1784   0 svchost
     10     2.38       9.89       0.59    1812   0 svchost
     10     1.99       9.73       0.23    1820   0 svchost
      9     1.79       8.53       0.06    1892   0 svchost
      8     2.17      11.30       0.05    1944   1 svchost
     10     1.96       9.29       0.17    2056   0 svchost
     15     3.14      10.00       1.12    2112   0 svchost
     12     2.19       9.93       0.08    2120   0 svchost
      8     1.71       7.70       0.06    2160   0 svchost
     12     3.18      15.85       0.25    2236   0 svchost
     24    16.57      44.39       1.69    2296   0 svchost
      8     1.71       8.04       0.03    2308   0 svchost
     23     3.99      17.28       0.09    2344   0 svchost
     11     2.41      11.45       0.19    2400   0 svchost
     10     2.48       9.57       0.23    2408   0 svchost
     10     2.18      11.43       0.09    2416   0 svchost
     14     2.86      13.79       0.16    2492   0 svchost
     31    12.59      24.84       0.67    2528   0 svchost
     16    16.54      25.08       1.34    2572   0 svchost
      9    11.43      22.11       3.97    2732   0 svchost
     10     2.45      10.51       0.30    2744   0 svchost
     11     2.60      11.81       0.09    2876   0 svchost
      8     1.72       8.12       0.02    2924   0 svchost
     42     2.00      10.11       0.02    2980   0 svchost
     11     4.16      12.81       0.19    3024   0 svchost
      6     1.79       7.37       0.11    3036   0 svchost
     25     4.39      16.94       0.23    3044   0 svchost
     16     3.19      13.45       0.09    3136   0 svchost
     14     8.05      19.76       0.64    3224   0 svchost
     15     3.41      12.32       0.02    3424   0 svchost
     11     2.79      11.49       0.09    3444   0 svchost
      8     1.91      12.52       0.05    3584   1 svchost
     15     6.59      28.67       1.03    4080   1 svchost
      7     1.55       8.80       0.02    4108   0 svchost
      8     1.97      13.07       0.19    4400   1 svchost
     15     2.47      10.16       0.06    4480   0 svchost
     11     5.33      15.86       0.94    4712   0 svchost
     18    10.85      37.40       1.22    4904   1 svchost
     10     2.25      12.39       0.03    5032   0 svchost
     13     4.54      22.58       3.91    5156   0 svchost
     19     5.46      23.62       0.23    5320   0 svchost
     22     8.68      39.98       0.95    5624   1 svchost
     11     2.56      15.19       0.78    5684   0 svchost
     14     3.39      17.07       0.09    5736   1 svchost
      9     2.67      14.13       0.03    5976   0 svchost
     12     4.08      18.40       1.67    6180   0 svchost
     13     3.66      19.31       0.14    6300   1 svchost
     16     6.68      25.30       0.27    6364   0 svchost
      8     1.65      10.12       0.05    7392   0 svchost
     17     4.97      24.00       0.50    7408   0 svchost
      8     1.89      10.15       0.05    7608   0 svchost
     14     5.06      17.24       0.55    8340   0 svchost
     13     3.92      17.59       0.12    8512   0 svchost
     11     1.77       9.84       0.02    8520   0 svchost
     11     3.15      14.15       0.06    8592   0 svchost
     17     4.71      23.26       0.19    8844   0 svchost
      0     0.17       1.16      70.78       4   0 System
     16     5.14      26.18       0.48    2704   1 SystemSettingsBroker
     36     7.33      21.48       0.77    4584   1 taskhostw
     85    96.19     181.91       5.97    8132   1 TextInputHost
      8     2.14       7.93       0.06    3284   0 vm3dservice
      9     2.39       9.17       0.22    3680   1 vm3dservice
     13     4.42      12.82       0.33    3216   0 vmtoolsd
     15     5.29      20.40       0.66    8408   1 vmtoolsd
     34    12.28      59.31       1.52     968   1 Widgets
     16     4.95      25.57       0.25    6580   1 WidgetService
     32    44.43     212.46       0.95    3944   1 WindowsTerminal
     10     1.64       8.11       0.09     684   0 wininit
     11     2.70      14.76       0.22     784   1 winlogon
     55     7.33       5.73       1.91    1644   0 XtaCache

